source_file,target_file,source_category,target_category,similarity,plagiarism
g0pA_taska.txt,g3pB_taskb.txt,non,non,0.64542913,False
g0pA_taska.txt,g3pB_taskc.txt,non,heavy,0.75122124,True
g0pA_taska.txt,g3pB_taskd.txt,non,light,0.66852903,False
g0pA_taska.txt,g3pB_taske.txt,non,cut,0.7445499,True
g0pA_taska.txt,g3pC_taska.txt,non,cut,0.8304226,True
g0pA_taska.txt,g3pC_taskb.txt,non,non,0.7013828,True
g0pA_taska.txt,g3pC_taskc.txt,non,non,0.61556023,False
g0pA_taska.txt,g3pC_taskd.txt,non,heavy,0.5774822,False
g0pA_taska.txt,g3pC_taske.txt,non,light,0.74074244,True
g0pA_taska.txt,g4pB_taska.txt,non,non,0.8084297,True
g0pA_taska.txt,g4pB_taskb.txt,non,non,0.6851149,False
g0pA_taska.txt,g4pB_taskc.txt,non,heavy,0.70567226,True
g0pA_taska.txt,g4pB_taskd.txt,non,light,0.6115825,False
g0pA_taska.txt,g4pB_taske.txt,non,cut,0.72155315,True
g0pA_taska.txt,g4pC_taska.txt,non,cut,0.8689995,True
g0pA_taska.txt,g4pC_taskb.txt,non,non,0.58012456,False
g0pA_taska.txt,g4pC_taskc.txt,non,non,0.67827946,False
g0pA_taska.txt,g4pC_taskd.txt,non,heavy,0.6527988,False
g0pA_taska.txt,g4pC_taske.txt,non,light,0.7404032,True
g0pA_taska.txt,g4pD_taska.txt,non,light,0.8671004,True
g0pA_taska.txt,g4pD_taskb.txt,non,cut,0.70910954,True
g0pA_taska.txt,g4pD_taskc.txt,non,non,0.7208227,True
g0pA_taska.txt,g4pD_taskd.txt,non,non,0.7131771,True
g0pA_taska.txt,g4pD_taske.txt,non,heavy,0.7425113,True
g0pA_taska.txt,g4pE_taska.txt,non,heavy,0.8809633,True
g0pA_taska.txt,g4pE_taskb.txt,non,light,0.6315322,False
g0pA_taska.txt,g4pE_taskc.txt,non,cut,0.6651611,False
g0pA_taska.txt,g4pE_taskd.txt,non,non,0.75498474,True
g0pA_taska.txt,g4pE_taske.txt,non,non,0.7420778,True
g0pA_taska.txt,orig_taska.txt,non,orig,0.8700936,True
g0pA_taska.txt,orig_taskb.txt,non,orig,0.6183502,False
g0pA_taska.txt,orig_taskc.txt,non,orig,0.72010416,True
g0pA_taska.txt,orig_taskd.txt,non,orig,0.6534647,False
g0pA_taska.txt,orig_taske.txt,non,orig,0.74432063,True
g0pA_taskb.txt,g0pA_taskc.txt,cut,light,0.79394186,True
g0pA_taskb.txt,g0pA_taskd.txt,cut,heavy,0.7365501,True
g0pA_taskb.txt,g0pA_taske.txt,cut,non,0.6780951,False
g0pA_taskb.txt,g0pB_taska.txt,cut,non,0.6789546,False
g0pA_taskb.txt,g0pB_taskb.txt,cut,non,0.8624779,True
g0pA_taskb.txt,g0pB_taskc.txt,cut,cut,0.83897936,True
g0pA_taskb.txt,g0pB_taskd.txt,cut,light,0.7386159,True
g0pA_taskb.txt,g0pB_taske.txt,cut,heavy,0.7293608,True
g0pA_taskb.txt,g0pC_taska.txt,cut,heavy,0.68697935,False
g0pA_taskb.txt,g0pC_taskb.txt,cut,non,0.8436085,True
g0pA_taskb.txt,g0pC_taskc.txt,cut,non,0.7973944,True
g0pA_taskb.txt,g0pC_taskd.txt,cut,cut,0.7163679,True
g0pA_taskb.txt,g0pC_taske.txt,cut,light,0.7143359,True
g0pA_taskb.txt,g0pD_taska.txt,cut,cut,0.6879347,False
g0pA_taskb.txt,g0pD_taskb.txt,cut,light,0.88023144,True
g0pA_taskb.txt,g0pD_taskc.txt,cut,heavy,0.8273434,True
g0pA_taskb.txt,g0pD_taskd.txt,cut,non,0.64544773,False
g0pA_taskb.txt,g0pD_taske.txt,cut,non,0.63749087,False
g0pA_taskb.txt,g0pE_taska.txt,cut,light,0.73336565,True
g0pA_taskb.txt,g0pE_taskb.txt,cut,heavy,0.9432097,True
g0pA_taskb.txt,g0pE_taskc.txt,cut,non,0.62477136,False
g0pA_taskb.txt,g0pE_taskd.txt,cut,non,0.69466066,False
g0pA_taskb.txt,g0pE_taske.txt,cut,cut,0.6843075,False
g0pA_taskb.txt,g1pA_taska.txt,cut,non,0.658824,False
g0pA_taskb.txt,g1pA_taskb.txt,cut,heavy,0.90646625,True
g0pA_taskb.txt,g1pA_taskc.txt,cut,light,0.8204736,True
g0pA_taskb.txt,g1pA_taskd.txt,cut,cut,0.7486183,True
g0pA_taskb.txt,g1pA_taske.txt,cut,non,0.73821235,True
g0pA_taskb.txt,g1pB_taska.txt,cut,non,0.6485963,False
g0pA_taskb.txt,g1pB_taskb.txt,cut,non,0.84916407,True
g0pA_taskb.txt,g1pB_taskc.txt,cut,heavy,0.8332297,True
g0pA_taskb.txt,g1pB_taskd.txt,cut,light,0.72772765,True
g0pA_taskb.txt,g1pB_taske.txt,cut,cut,0.72854495,True
g0pA_taskb.txt,g1pD_taska.txt,cut,light,0.73529756,True
g0pA_taskb.txt,g1pD_taskb.txt,cut,cut,0.92347896,True
g0pA_taskb.txt,g1pD_taskc.txt,cut,non,0.75798315,True
g0pA_taskb.txt,g1pD_taskd.txt,cut,non,0.718829,True
g0pA_taskb.txt,g1pD_taske.txt,cut,heavy,0.6449754,False
g0pA_taskb.txt,g2pA_taska.txt,cut,non,0.67866266,False
g0pA_taskb.txt,g2pA_taskb.txt,cut,heavy,0.9095143,True
g0pA_taskb.txt,g2pA_taskc.txt,cut,light,0.8239559,True
g0pA_taskb.txt,g2pA_taskd.txt,cut,cut,0.6408589,False
g0pA_taskb.txt,g2pA_taske.txt,cut,non,0.7051878,True
g0pA_taskb.txt,g2pB_taska.txt,cut,non,0.69665873,False
g0pA_taskb.txt,g2pB_taskb.txt,cut,non,0.88767934,True
g0pA_taskb.txt,g2pB_taskc.txt,cut,heavy,0.8231908,True
g0pA_taskb.txt,g2pB_taskd.txt,cut,light,0.74047446,True
g0pA_taskb.txt,g2pB_taske.txt,cut,cut,0.70855063,True
g0pA_taskb.txt,g2pC_taska.txt,cut,cut,0.7144308,True
g0pA_taskb.txt,g2pC_taskb.txt,cut,non,0.8890784,True
g0pA_taskb.txt,g2pC_taskc.txt,cut,non,0.76902467,True
g0pA_taskb.txt,g2pC_taskd.txt,cut,heavy,0.66198885,False
g0pA_taskb.txt,g2pC_taske.txt,cut,light,0.67624056,False
g0pA_taskb.txt,g2pE_taska.txt,cut,heavy,0.7396492,True
g0pA_taskb.txt,g2pE_taskb.txt,cut,light,0.89826155,True
g0pA_taskb.txt,g2pE_taskc.txt,cut,cut,0.7097335,True
g0pA_taskb.txt,g2pE_taskd.txt,cut,non,0.7363934,True
g0pA_taskb.txt,g2pE_taske.txt,cut,non,0.6743807,False
g0pA_taskb.txt,g3pA_taska.txt,cut,non,0.7110283,True
g0pA_taskb.txt,g3pA_taskb.txt,cut,heavy,0.9320959,True
g0pA_taskb.txt,g3pA_taskc.txt,cut,light,0.8423305,True
g0pA_taskb.txt,g3pA_taskd.txt,cut,cut,0.73174757,True
g0pA_taskb.txt,g3pA_taske.txt,cut,non,0.7195313,True
g0pA_taskb.txt,g3pB_taska.txt,cut,non,0.67904717,False
g0pA_taskb.txt,g3pB_taskb.txt,cut,non,0.89018196,True
g0pA_taskb.txt,g3pB_taskc.txt,cut,heavy,0.8146732,True
g0pA_taskb.txt,g3pB_taskd.txt,cut,light,0.7306088,True
g0pA_taskb.txt,g3pB_taske.txt,cut,cut,0.69855803,False
g0pA_taskb.txt,g3pC_taska.txt,cut,cut,0.6154419,False
g0pA_taskb.txt,g3pC_taskb.txt,cut,non,0.913838,True
g0pA_taskb.txt,g3pC_taskc.txt,cut,non,0.8292242,True
g0pA_taskb.txt,g3pC_taskd.txt,cut,heavy,0.65686864,False
g0pA_taskb.txt,g3pC_taske.txt,cut,light,0.70113957,True
g0pA_taskb.txt,g4pB_taska.txt,cut,non,0.68811214,False
g0pA_taskb.txt,g4pB_taskb.txt,cut,non,0.8655223,True
g0pA_taskb.txt,g4pB_taskc.txt,cut,heavy,0.8314408,True
g0pA_taskb.txt,g4pB_taskd.txt,cut,light,0.7048763,True
g0pA_taskb.txt,g4pB_taske.txt,cut,cut,0.702899,True
g0pA_taskb.txt,g4pC_taska.txt,cut,cut,0.72552514,True
g0pA_taskb.txt,g4pC_taskb.txt,cut,non,0.90197825,True
g0pA_taskb.txt,g4pC_taskc.txt,cut,non,0.81736124,True
g0pA_taskb.txt,g4pC_taskd.txt,cut,heavy,0.7178703,True
g0pA_taskb.txt,g4pC_taske.txt,cut,light,0.7510464,True
g0pA_taskb.txt,g4pD_taska.txt,cut,light,0.7368263,True
g0pA_taskb.txt,g4pD_taskb.txt,cut,cut,0.8633716,True
g0pA_taskb.txt,g4pD_taskc.txt,cut,non,0.8237458,True
g0pA_taskb.txt,g4pD_taskd.txt,cut,non,0.7357706,True
g0pA_taskb.txt,g4pD_taske.txt,cut,heavy,0.74873596,True
g0pA_taskb.txt,g4pE_taska.txt,cut,heavy,0.65805167,False
g0pA_taskb.txt,g4pE_taskb.txt,cut,light,0.9006753,True
g0pA_taskb.txt,g4pE_taskc.txt,cut,cut,0.74200666,True
g0pA_taskb.txt,g4pE_taskd.txt,cut,non,0.81619585,True
g0pA_taskb.txt,g4pE_taske.txt,cut,non,0.74612594,True
g0pA_taskb.txt,orig_taska.txt,cut,orig,0.7295347,True
g0pA_taskb.txt,orig_taskb.txt,cut,orig,0.9568156,True
g0pA_taskb.txt,orig_taskc.txt,cut,orig,0.8317508,True
g0pA_taskb.txt,orig_taskd.txt,cut,orig,0.7339412,True
g0pA_taskb.txt,orig_taske.txt,cut,orig,0.745589,True
g0pA_taskc.txt,g0pA_taskd.txt,light,heavy,0.7630459,True
g0pA_taskc.txt,g0pA_taske.txt,light,non,0.76494217,True
g0pA_taskc.txt,g0pB_taska.txt,light,non,0.75462043,True
g0pA_taskc.txt,g0pB_taskb.txt,light,non,0.73165804,True
g0pA_taskc.txt,g0pB_taskc.txt,light,cut,0.97456455,True
g0pA_taskc.txt,g0pB_taskd.txt,light,light,0.77431214,True
g0pA_taskc.txt,g0pB_taske.txt,light,heavy,0.8107124,True
g0pA_taskc.txt,g0pC_taska.txt,light,heavy,0.74500835,True
g0pA_taskc.txt,g0pC_taskb.txt,light,non,0.71601236,True
g0pA_taskc.txt,g0pC_taskc.txt,light,non,0.8860277,True
g0pA_taskc.txt,g0pC_taskd.txt,light,cut,0.75054175,True
g0pA_taskc.txt,g0pC_taske.txt,light,light,0.7796558,True
g0pA_taskc.txt,g0pD_taska.txt,light,cut,0.7792177,True
g0pA_taskc.txt,g0pD_taskb.txt,light,light,0.71278405,True
g0pA_taskc.txt,g0pD_taskc.txt,light,heavy,0.9653957,True
g0pA_taskc.txt,g0pD_taskd.txt,light,non,0.71264434,True
g0pA_taskc.txt,g0pD_taske.txt,light,non,0.7437762,True
g0pA_taskc.txt,g0pE_taska.txt,light,light,0.810445,True
g0pA_taskc.txt,g0pE_taskb.txt,light,heavy,0.7602186,True
g0pA_taskc.txt,g0pE_taskc.txt,light,non,0.83858824,True
g0pA_taskc.txt,g0pE_taskd.txt,light,non,0.6897478,False
g0pA_taskc.txt,g0pE_taske.txt,light,cut,0.79160535,True
g0pA_taskc.txt,g1pA_taska.txt,light,non,0.738695,True
g0pA_taskc.txt,g1pA_taskb.txt,light,heavy,0.78514385,True
g0pA_taskc.txt,g1pA_taskc.txt,light,light,0.9420707,True
g0pA_taskc.txt,g1pA_taskd.txt,light,cut,0.80253285,True
g0pA_taskc.txt,g1pA_taske.txt,light,non,0.81022525,True
g0pA_taskc.txt,g1pB_taska.txt,light,non,0.7072554,True
g0pA_taskc.txt,g1pB_taskb.txt,light,non,0.7294049,True
g0pA_taskc.txt,g1pB_taskc.txt,light,heavy,0.9518825,True
g0pA_taskc.txt,g1pB_taskd.txt,light,light,0.7607488,True
g0pA_taskc.txt,g1pB_taske.txt,light,cut,0.8175987,True
g0pA_taskc.txt,g1pD_taska.txt,light,light,0.7993568,True
g0pA_taskc.txt,g1pD_taskb.txt,light,cut,0.8180696,True
g0pA_taskc.txt,g1pD_taskc.txt,light,non,0.8969507,True
g0pA_taskc.txt,g1pD_taskd.txt,light,non,0.7029098,True
g0pA_taskc.txt,g1pD_taske.txt,light,heavy,0.74668324,True
g0pA_taskc.txt,g2pA_taska.txt,light,non,0.7736831,True
g0pA_taskc.txt,g2pA_taskb.txt,light,heavy,0.7467278,True
g0pA_taskc.txt,g2pA_taskc.txt,light,light,0.9806568,True
g0pA_taskc.txt,g2pA_taskd.txt,light,cut,0.6769048,False
g0pA_taskc.txt,g2pA_taske.txt,light,non,0.75375426,True
g0pA_taskc.txt,g2pB_taska.txt,light,non,0.7729026,True
g0pA_taskc.txt,g2pB_taskb.txt,light,non,0.76243204,True
g0pA_taskc.txt,g2pB_taskc.txt,light,heavy,0.9631989,True
g0pA_taskc.txt,g2pB_taskd.txt,light,light,0.76422334,True
g0pA_taskc.txt,g2pB_taske.txt,light,cut,0.7972518,True
g0pA_taskc.txt,g2pC_taska.txt,light,cut,0.7903985,True
g0pA_taskc.txt,g2pC_taskb.txt,light,non,0.77050614,True
g0pA_taskc.txt,g2pC_taskc.txt,light,non,0.91043025,True
g0pA_taskc.txt,g2pC_taskd.txt,light,heavy,0.68161756,False
g0pA_taskc.txt,g2pC_taske.txt,light,light,0.76106155,True
g0pA_taskc.txt,g2pE_taska.txt,light,heavy,0.82922864,True
g0pA_taskc.txt,g2pE_taskb.txt,light,light,0.7427286,True
g0pA_taskc.txt,g2pE_taskc.txt,light,cut,0.73657674,True
g0pA_taskc.txt,g2pE_taskd.txt,light,non,0.79552186,True
g0pA_taskc.txt,g2pE_taske.txt,light,non,0.77310055,True
g0pA_taskc.txt,g3pA_taska.txt,light,non,0.77424103,True
g0pA_taskc.txt,g3pA_taskb.txt,light,heavy,0.77302194,True
g0pA_taskc.txt,g3pA_taskc.txt,light,light,0.9711,True
g0pA_taskc.txt,g3pA_taskd.txt,light,cut,0.7580895,True
g0pA_taskc.txt,g3pA_taske.txt,light,non,0.80717194,True
g0pA_taskc.txt,g3pB_taska.txt,light,non,0.7790036,True
g0pA_taskc.txt,g3pB_taskb.txt,light,non,0.76518553,True
g0pA_taskc.txt,g3pB_taskc.txt,light,heavy,0.9478454,True
g0pA_taskc.txt,g3pB_taskd.txt,light,light,0.7698852,True
g0pA_taskc.txt,g3pB_taske.txt,light,cut,0.8086524,True
g0pA_taskc.txt,g3pC_taska.txt,light,cut,0.70886123,True
g0pA_taskc.txt,g3pC_taskb.txt,light,non,0.8041782,True
g0pA_taskc.txt,g3pC_taskc.txt,light,non,0.8202295,True
g0pA_taskc.txt,g3pC_taskd.txt,light,heavy,0.6828202,False
g0pA_taskc.txt,g3pC_taske.txt,light,light,0.79486865,True
g0pA_taskc.txt,g4pB_taska.txt,light,non,0.76024544,True
g0pA_taskc.txt,g4pB_taskb.txt,light,non,0.76612914,True
g0pA_taskc.txt,g4pB_taskc.txt,light,heavy,0.9552612,True
g0pA_taskc.txt,g4pB_taskd.txt,light,light,0.72134185,True
g0pA_taskc.txt,g4pB_taske.txt,light,cut,0.7778672,True
g0pA_taskc.txt,g4pC_taska.txt,light,cut,0.8035879,True
g0pA_taskc.txt,g4pC_taskb.txt,light,non,0.7377833,True
g0pA_taskc.txt,g4pC_taskc.txt,light,non,0.86104167,True
g0pA_taskc.txt,g4pC_taskd.txt,light,heavy,0.7507014,True
g0pA_taskc.txt,g4pC_taske.txt,light,light,0.8182738,True
g0pA_taskc.txt,g4pD_taska.txt,light,light,0.7862256,True
g0pA_taskc.txt,g4pD_taskb.txt,light,cut,0.8214642,True
g0pA_taskc.txt,g4pD_taskc.txt,light,non,0.897783,True
g0pA_taskc.txt,g4pD_taskd.txt,light,non,0.78484267,True
g0pA_taskc.txt,g4pD_taske.txt,light,heavy,0.8121939,True
g0pA_taskc.txt,g4pE_taska.txt,light,heavy,0.72553223,True
g0pA_taskc.txt,g4pE_taskb.txt,light,light,0.7691535,True
g0pA_taskc.txt,g4pE_taskc.txt,light,cut,0.9066978,True
g0pA_taskc.txt,g4pE_taskd.txt,light,non,0.81864655,True
g0pA_taskc.txt,g4pE_taske.txt,light,non,0.8018546,True
g0pA_taskc.txt,orig_taska.txt,light,orig,0.8098885,True
g0pA_taskc.txt,orig_taskb.txt,light,orig,0.77252984,True
g0pA_taskc.txt,orig_taskc.txt,light,orig,0.98092103,True
g0pA_taskc.txt,orig_taskd.txt,light,orig,0.7587708,True
g0pA_taskc.txt,orig_taske.txt,light,orig,0.81656265,True
g0pA_taskd.txt,g0pA_taske.txt,heavy,non,0.6496822,False
g0pA_taskd.txt,g0pB_taska.txt,heavy,non,0.7028446,True
g0pA_taskd.txt,g0pB_taskb.txt,heavy,non,0.6528212,False
g0pA_taskd.txt,g0pB_taskc.txt,heavy,cut,0.7661557,True
g0pA_taskd.txt,g0pB_taskd.txt,heavy,light,0.8577262,True
g0pA_taskd.txt,g0pB_taske.txt,heavy,heavy,0.7195444,True
g0pA_taskd.txt,g0pC_taska.txt,heavy,heavy,0.7258911,True
g0pA_taskd.txt,g0pC_taskb.txt,heavy,non,0.62532455,False
g0pA_taskd.txt,g0pC_taskc.txt,heavy,non,0.75076544,True
g0pA_taskd.txt,g0pC_taskd.txt,heavy,cut,0.9082255,True
g0pA_taskd.txt,g0pC_taske.txt,heavy,light,0.707235,True
g0pA_taskd.txt,g0pD_taska.txt,heavy,cut,0.7237506,True
g0pA_taskd.txt,g0pD_taskb.txt,heavy,light,0.64568883,False
g0pA_taskd.txt,g0pD_taskc.txt,heavy,heavy,0.7655566,True
g0pA_taskd.txt,g0pD_taskd.txt,heavy,non,0.7341695,True
g0pA_taskd.txt,g0pD_taske.txt,heavy,non,0.65388846,False
g0pA_taskd.txt,g0pE_taska.txt,heavy,light,0.74934137,True
g0pA_taskd.txt,g0pE_taskb.txt,heavy,heavy,0.67566824,False
g0pA_taskd.txt,g0pE_taskc.txt,heavy,non,0.55965596,False
g0pA_taskd.txt,g0pE_taskd.txt,heavy,non,0.7879863,True
g0pA_taskd.txt,g0pE_taske.txt,heavy,cut,0.69175774,False
g0pA_taskd.txt,g1pA_taska.txt,heavy,non,0.6718285,False
g0pA_taskd.txt,g1pA_taskb.txt,heavy,heavy,0.7358356,True
g0pA_taskd.txt,g1pA_taskc.txt,heavy,light,0.7607728,True
g0pA_taskd.txt,g1pA_taskd.txt,heavy,cut,0.90253043,True
g0pA_taskd.txt,g1pA_taske.txt,heavy,non,0.74287635,True
g0pA_taskd.txt,g1pB_taska.txt,heavy,non,0.7322548,True
g0pA_taskd.txt,g1pB_taskb.txt,heavy,non,0.6804873,False
g0pA_taskd.txt,g1pB_taskc.txt,heavy,heavy,0.7594089,True
g0pA_taskd.txt,g1pB_taskd.txt,heavy,light,0.88783616,True
g0pA_taskd.txt,g1pB_taske.txt,heavy,cut,0.7397374,True
g0pA_taskd.txt,g1pD_taska.txt,heavy,light,0.735533,True
g0pA_taskd.txt,g1pD_taskb.txt,heavy,cut,0.81315315,True
g0pA_taskd.txt,g1pD_taskc.txt,heavy,non,0.70008993,True
g0pA_taskd.txt,g1pD_taskd.txt,heavy,non,0.83915496,True
g0pA_taskd.txt,g1pD_taske.txt,heavy,heavy,0.6504844,False
g0pA_taskd.txt,g2pA_taska.txt,heavy,non,0.71309173,True
g0pA_taskd.txt,g2pA_taskb.txt,heavy,heavy,0.67747974,False
g0pA_taskd.txt,g2pA_taskc.txt,heavy,light,0.7729312,True
g0pA_taskd.txt,g2pA_taskd.txt,heavy,cut,0.91655743,True
g0pA_taskd.txt,g2pA_taske.txt,heavy,non,0.644686,False
g0pA_taskd.txt,g2pB_taska.txt,heavy,non,0.73622686,True
g0pA_taskd.txt,g2pB_taskb.txt,heavy,non,0.7083244,True
g0pA_taskd.txt,g2pB_taskc.txt,heavy,heavy,0.772446,True
g0pA_taskd.txt,g2pB_taskd.txt,heavy,light,0.89810073,True
g0pA_taskd.txt,g2pB_taske.txt,heavy,cut,0.7014652,True
g0pA_taskd.txt,g2pC_taska.txt,heavy,cut,0.7112447,True
g0pA_taskd.txt,g2pC_taskb.txt,heavy,non,0.69045675,False
g0pA_taskd.txt,g2pC_taskc.txt,heavy,non,0.6959537,False
g0pA_taskd.txt,g2pC_taskd.txt,heavy,heavy,0.90714693,True
g0pA_taskd.txt,g2pC_taske.txt,heavy,light,0.67744344,False
g0pA_taskd.txt,g2pE_taska.txt,heavy,heavy,0.77240807,True
g0pA_taskd.txt,g2pE_taskb.txt,heavy,light,0.6930635,False
g0pA_taskd.txt,g2pE_taskc.txt,heavy,cut,0.58549,False
g0pA_taskd.txt,g2pE_taskd.txt,heavy,non,0.86246204,True
g0pA_taskd.txt,g2pE_taske.txt,heavy,non,0.67484605,False
g0pA_taskd.txt,g3pA_taska.txt,heavy,non,0.71511304,True
g0pA_taskd.txt,g3pA_taskb.txt,heavy,heavy,0.7079495,True
g0pA_taskd.txt,g3pA_taskc.txt,heavy,light,0.7781455,True
g0pA_taskd.txt,g3pA_taskd.txt,heavy,cut,0.89325583,True
g0pA_taskd.txt,g3pA_taske.txt,heavy,non,0.7306093,True
g0pA_taskd.txt,g3pB_taska.txt,heavy,non,0.7500003,True
g0pA_taskd.txt,g3pB_taskb.txt,heavy,non,0.6729827,False
g0pA_taskd.txt,g3pB_taskc.txt,heavy,heavy,0.7941738,True
g0pA_taskd.txt,g3pB_taskd.txt,heavy,light,0.8684445,True
g0pA_taskd.txt,g3pB_taske.txt,heavy,cut,0.7017983,True
g0pA_taskd.txt,g3pC_taska.txt,heavy,cut,0.70848906,True
g0pA_taskd.txt,g3pC_taskb.txt,heavy,non,0.7157341,True
g0pA_taskd.txt,g3pC_taskc.txt,heavy,non,0.72522426,True
g0pA_taskd.txt,g3pC_taskd.txt,heavy,heavy,0.8264002,True
g0pA_taskd.txt,g3pC_taske.txt,heavy,light,0.7165525,True
g0pA_taskd.txt,g4pB_taska.txt,heavy,non,0.72338885,True
g0pA_taskd.txt,g4pB_taskb.txt,heavy,non,0.7106179,True
g0pA_taskd.txt,g4pB_taskc.txt,heavy,heavy,0.7665994,True
g0pA_taskd.txt,g4pB_taskd.txt,heavy,light,0.85638833,True
g0pA_taskd.txt,g4pB_taske.txt,heavy,cut,0.6927717,False
g0pA_taskd.txt,g4pC_taska.txt,heavy,cut,0.7418291,True
g0pA_taskd.txt,g4pC_taskb.txt,heavy,non,0.65603864,False
g0pA_taskd.txt,g4pC_taskc.txt,heavy,non,0.731501,True
g0pA_taskd.txt,g4pC_taskd.txt,heavy,heavy,0.8876817,True
g0pA_taskd.txt,g4pC_taske.txt,heavy,light,0.7281799,True
g0pA_taskd.txt,g4pD_taska.txt,heavy,light,0.72788525,True
g0pA_taskd.txt,g4pD_taskb.txt,heavy,cut,0.78888065,True
g0pA_taskd.txt,g4pD_taskc.txt,heavy,non,0.798908,True
g0pA_taskd.txt,g4pD_taskd.txt,heavy,non,0.83145607,True
g0pA_taskd.txt,g4pD_taske.txt,heavy,heavy,0.74556416,True
g0pA_taskd.txt,g4pE_taska.txt,heavy,heavy,0.68295705,False
